[17:25:58.134] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[17:25:58.135] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x63; discarded 1 byte(s)
[17:25:58.135] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6f; discarded 1 byte(s)
[17:25:58.135] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6d; discarded 1 byte(s)
[17:25:58.136] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6d; discarded 1 byte(s)
[17:25:58.136] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x61; discarded 1 byte(s)
[17:25:58.136] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6e; discarded 1 byte(s)
[17:25:58.137] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x64; discarded 1 byte(s)
[17:25:58.137] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x3a; discarded 1 byte(s)
[17:25:58.137] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[17:25:58.138] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x82; discarded 1 byte(s)
[17:25:58.138] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[17:25:58.138] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5d; discarded 1 byte(s)
[17:25:58.140] BAD_PACKET[TCP_prs2026hitl_7100] bad EOF for 0xff: expected 0x0a, got 0xff; resync=discard 1 byte
[17:25:58.140] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0xbc; discarded 1 byte(s)
[17:25:58.140] BAD_PACKET[TCP_prs2026hitl_7100] bad EOF for 0xff: expected 0x0a, got 0x08; resync=discard 1 byte
[17:25:58.141] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x4f; discarded 1 byte(s)
[17:25:58.141] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x57; discarded 1 byte(s)
[17:25:58.141] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x4e; discarded 1 byte(s)
[17:25:58.141] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[17:25:58.142] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
