[23:25:36.852] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x64; discarded 1 byte(s)
[23:25:36.853] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x3a; discarded 1 byte(s)
[23:25:36.853] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.853] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[23:25:36.854] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x41; discarded 1 byte(s)
[23:25:36.854] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x41; discarded 1 byte(s)
[23:25:36.854] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[23:25:36.855] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[23:25:36.855] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[23:25:36.855] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[23:25:36.856] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[23:25:36.856] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[23:25:36.856] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[23:25:36.856] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[23:25:36.857] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[23:25:36.857] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x43; discarded 1 byte(s)
[23:25:36.857] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x47; discarded 1 byte(s)
[23:25:36.858] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.858] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
