packet_index,byte_offset,packet_id,packet_type,frame_length,time_seconds,status,uptime,filtered_accel_x,filtered_accel_y,filtered_accel_z,gyro_x,gyro_y,gyro_z,fc_status,fc_uptime,current_sense_ch1,current_sense_ch2,current_sense_ch3,iris_battery_voltage,command_value,mcu_temperature,orientation_x,orientation_y,orientation_z,orientation_w,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,latitude,longitude,gps_altitude,barometric_altitude,witness_battery_voltage,raw_packet_hex
51,70293,0x05,command,10,4293722.217,65396,4293722217,,,,,,,,,,,,,65173,,,,,,,,,,,,,,,,,05 ff 74 ff ed 00 69 fe 95 0a
52,71388,0x03,camera,19,284693.76,13567,3690953985,,,,,,,46077,284693760,2.2,0.0,22.1,0.237,,,,,,,,,,,,,,,,,,03 b3 fd 10 f8 15 00 34 ff db ff 7d 01 16 00 dd 00 ed 0a
53,71436,0x03,camera,19,2616801.28,11775,3724510720,,,,,,,46077,2616801280,16.0,0.1,4.5,0.272,,,,,,,,,,,,,,,,,,03 b3 fd 9b f9 38 00 2d ff dd ff 86 00 a0 01 2d 01 10 0a
54,71484,0x03,camera,19,2348355.584,9215,3791618048,,,,,,,23805,2348355584,14.0,0.1,0.2,0.276,,,,,,,,,,,,,,,,,,03 5c fd 8b f9 10 00 23 ff e1 ff 80 00 8c 01 02 01 14 0a
55,71676,0x03,camera,19,1291377.152,10495,3640624641,,,,,,,4861,1291377152,0.4,25.5,19.6,0.313,,,,,,,,,,,,,,,,,,03 12 fd 4c f8 da 00 28 ff d8 ff 86 01 04 ff c4 01 39 0a
56,71724,0x03,camera,19,4177070.336,9471,3573516033,,,,,,,10748,4177070336,1.3,0.0,9.0,0.284,,,,,,,,,,,,,,,,,,03 29 fc f8 f9 09 00 24 ff d4 ff 87 01 0d 00 5a 01 1c 0a
57,71964,0x03,camera,19,2499388.928,11519,3523186944,,,,,,,6652,2499388928,13.7,0.0,5.7,0.267,,,,,,,,,,,,,,,,,,03 19 fc 94 f9 a6 00 2c ff d1 ff 91 00 89 00 39 01 0b 0a
58,72012,0x03,camera,19,2381954.304,10751,3573518080,,,,,,,12796,2381954304,7.7,0.0,14.0,0.28,,,,,,,,,,,,,,,,,,03 31 fc 8d f9 bd 00 29 ff d4 ff 8f 00 4d 00 8c 01 18 0a
59,72252,0x03,camera,19,1626947.072,11263,3506408191,,,,,,,9468,1626947072,21.0,0.0,8.4,0.256,,,,,,,,,,,,,,,,,,03 24 fc 60 f9 3e 00 2b ff d0 ff 8a ff d2 00 54 01 00 0a
60,72300,0x03,camera,19,1392061.696,9727,3523184639,,,,,,,5628,1392061696,19.7,0.0,12.3,0.24,,,,,,,,,,,,,,,,,,03 15 fc 52 f9 2d 00 25 ff d1 ff 87 ff c5 00 7b 00 f0 0a
61,72348,0x03,camera,19,1392061.696,9727,3523184639,,,,,,,5628,1392061696,19.7,0.0,12.3,0.24,,,,,,,,,,,,,,,,,,03 15 fc 52 f9 2d 00 25 ff d1 ff 87 ff c5 00 7b 00 f0 0a
62,72396,0x03,camera,19,1392061.696,9727,3523184639,,,,,,,5628,1392061696,19.7,0.0,12.3,0.24,,,,,,,,,,,,,,,,,,03 15 fc 52 f9 2d 00 25 ff d1 ff 87 ff c5 00 7b 00 f0 0a
63,72444,0x03,camera,19,1392061.696,9727,3523184639,,,,,,,5628,1392061696,19.7,0.0,12.3,0.24,,,,,,,,,,,,,,,,,,03 15 fc 52 f9 2d 00 25 ff d1 ff 87 ff c5 00 7b 00 f0 0a
64,72492,0x03,camera,19,1392061.696,9727,3523184639,,,,,,,5628,1392061696,19.7,0.0,12.3,0.24,,,,,,,,,,,,,,,,,,03 15 fc 52 f9 2d 00 25 ff d1 ff 87 ff c5 00 7b 00 f0 0a
65,72540,0x03,camera,19,1392061.696,9727,3523184639,,,,,,,5628,1392061696,19.7,0.0,12.3,0.24,,,,,,,,,,,,,,,,,,03 15 fc 52 f9 2d 00 25 ff d1 ff 87 ff c5 00 7b 00 f0 0a
66,72588,0x03,camera,19,603523.584,10751,3439296512,,,,,,,22268,603523584,0.1,0.1,9.2,0.378,,,,,,,,,,,,,,,,,,03 56 fc 23 f9 0a 00 29 ff cc ff 80 00 01 01 5c 01 7a 0a
67,72780,0x03,camera,19,1006177.792,9983,3472852992,,,,,,,15356,1006177792,8.1,0.0,4.5,0.291,,,,,,,,,,,,,,,,,,03 3b fc 3b f9 0e 00 26 ff ce ff 88 00 51 00 2d 01 23 0a
