I (169) w25n01kv: initialized W25N01KV JEDEC EF AE 21, SR1=0x00 SR2=0x19
I (179) flash_logger: startup test block 1023 wrote/read:
E (35479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
W (35509) uart2: could not forward 11 UART bytes: ESP_ERR_NO_MEM
E (35579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (35679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (35779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (35879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (35979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (36079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (36199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (36299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (36349) sensors: state packet queue failed: ESP_ERR_NO_MEM
W (36459) uart2: could not forward 10 UART bytes: ESP_ERR_NO_MEM
E (36479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
W (36509) uart2: could not forward 13 UART bytes: ESP_ERR_NO_MEM
E (36579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (36679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (36779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (36879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (36979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
